comment,source,cleaned_comment,final_label
"Ngay trung tâm, phù hợp với gia đình có trẻ em như mình. Buffet sáng ngon.",booking,"ngay trung_tâm , phù_hợp với gia_đình có trẻ_em như mình . buffet sáng ngon .",positive
"Vị trí
Sảnh lể tân đẹp",booking,vị_trí sảnh lể tân_đẹp,positive
"Vị trí trung tâm , gần chợ , gần Hồ Xuân Hương . Xung quanh ks có nhiều quán ăn",booking,"vị_trí trung_tâm , gần chợ , gần hồ xuân hương . xung_quanh khách_sạn có nhiều quán ăn",positive
"Dịch vụ tại khách sạn tốt, nhân viên dễ thương",booking,"dịch_vụ tại khách_sạn tốt , nhân_viên dễ_thương",positive
Nhân viên cực kỳ dễ thương. Phòng sạch sẽ và service quá chu đáo,booking,nhân_viên cực_kỳ dễ_thương . phòng sạch_sẽ và service quá chu_đáo,positive
"Khách sạn gần chợ Đà Lạt, rất tiện để đi, phòng rộng thoải mái, ăn sáng ngon, nhân viên thân thiện. Mình sẽ ghé lại lần sau.",booking,"khách_sạn gần chợ đà_lạt , rất tiện để đi , phòng rộng thoải_mái , ăn sáng ngon , nhân_viên thân_thiện . mình sẽ ghé lại lần sau .",positive
"Khách sạn có vị trí thuận lợi, phòng sạch sẽ, dịch vụ tốt, nhân viên thì quá thân thiện và rất hiếu khách, nhẹ nhàng, lịch sự. Có dịp mình sẽ ghé và ở lại khách sạn tiếp. Nhà mình được bạn Vy hỗ trợ rất nhiệt tình, rất mong lần sau sẽ vẫn có trải nghiệm tuyệt vời như lần này.",booking,"khách_sạn có vị_trí thuận_lợi , phòng sạch_sẽ , dịch_vụ tốt , nhân_viên thì quá thân_thiện và rất hiếu_khách , nhẹ_nhàng , lịch_sự . có dịp mình sẽ ghé và ở lại khách_sạn tiếp . nhà mình được bạn vy hỗ_trợ rất nhiệt_tình , rất mong lần sau sẽ vẫn có trải nghiệm tuyệt_vời như lần này .",positive
Bữa ăn sáng ok.,booking,bữa ăn sáng ok .,positive
"Bữa sáng nhìn đồ ăn không hấp dẫn nhưng bù lại chất lượng các món ăn sáng là món nước thì khá ổn, nước ép toàn đóng hộp ko phải nc tươi",booking,"bữa sáng nhìn đồ ăn_không hấp_dẫn nhưng bù lại chất_lượng các món ăn sáng là món nước thì khá ổn , nước ép toàn đóng_hộp không phải nc tươi",positive
Dễ đi.,booking,dễ đi .,positive
"Làn thu 2 trở lại ks ,  sach sẽ , gan trung tâm , nhan viên rất chu đáo",booking,"làn thu 2 trở_lại khách_sạn , sach sẽ , gan trung_tâm , nhan viên rất chu_đáo",positive
"Phòng sạch , nhân viên thân thiện , ăn sáng ngon,",booking,"phòng sạch , nhân_viên thân_thiện , ăn sáng ngon ,",positive
Trung tâm tiện đi lại,booking,trung_tâm tiện đi_lại,positive
"Tuyệt vời. Đội ngũ phục vụ chuyên nghiệp, thân thiện và dễ mến.",booking,"tuyệt_vời . đội_ngũ phục_vụ chuyên_nghiệp , thân_thiện và dễ mến .",positive
Gần phố đi bộ,booking,gần phố đi bộ,neutral
Vị trí,booking,vị_trí,neutral
Vị trí gần chợ,booking,vị_trí gần chợ,neutral
Tiện lợi,booking,tiện_lợi,positive
"NV lễ tân, bảo vệ chu đáo, nhiệt tình, vui vẻ chấm điểm 10/10",booking,"nhân_viên lễ_tân , bảo_vệ chu_đáo , nhiệt_tình , vui_vẻ chấm điểm 10 / 10",positive
"ks cổ điển, vị trí thuận lợi",booking,"khách_sạn cổ_điển , vị_trí thuận_lợi",positive
"Thuận tiện cho gia đình giải trí ,nghỉ ngơi...",booking,"thuận_tiện cho gia_đình giải_trí , nghỉ_ngơi ...",positive
"Khách sạn sạch sẽ, vị trí thuận lợi ngay chợ đêm Đà Lạt, có nhiều hàng quán ngon xung quanh.",booking,"khách_sạn sạch_sẽ , vị_trí thuận_lợi ngay chợ đêm đà_lạt , có nhiều hàng_quán ngon xung_quanh .",positive
Địa điểm,booking,địa_điểm,neutral
Trung tâm. Sạch sẽ,booking,trung_tâm . sạch_sẽ,positive
"Khách sạn nhiệt tình, hỗ trợ rất tốt cho khách hàng",booking,"khách_sạn nhiệt_tình , hỗ_trợ rất tốt cho khách_hàng",positive
Ngay chợ,booking,ngay chợ,positive
Gân trung tâm,booking,gân trung_tâm,neutral
"Ví trí tốt, phòng đẹp",booking,"ví trí tốt , phòng đẹp",positive
"- Ngay chợ đêm, đi dạo rất tiện",booking,"- ngay chợ đêm , đi dạo rất tiện",positive
Vị trí ngay trung tâm nhưng vẫn rất Đà Lạt,booking,vị_trí ngay trung_tâm nhưng vẫn rất đà_lạt,positive
Thái độ nhân viên tốt,booking,thái_độ nhân_viên tốt,positive
"Sạch sẽ, đầy đủ tiện nghi. Bạn nam lễ tân cực kỳ dễ thương nhiệt tình. Chỉ mình quán ăn ngon nữa. Sẽ trở lại vào dịp tới.",booking,"sạch_sẽ , đầy_đủ tiện_nghi . bạn nam lễ_tân cực_kỳ dễ_thương nhiệt_tình . chỉ mình quán ăn ngon nữa . sẽ trở_lại vào dịp tới .",positive
Nhân viên siêu dễ thương và nhiệt tình hỗ trợ hết mình du khách lưu trú tại đây.,booking,nhân_viên siêu dễ_thương và nhiệt_tình hỗ_trợ hết_mình du_khách lưu_trú tại đây .,positive
Khách sạn thoáng mat sạch sẽ nhân viên nhiệt giá cả thì rất mềm phù hợp cho những chuyế du lịch ngắn ngày và dài ngày,booking,khách_sạn thoáng mat sạch_sẽ nhân_viên nhiệt giá_cả thì rất mềm phù_hợp cho những chuyế du_lịch ngắn ngày và dài ngày,positive
Rất tuyệt vời nhân viên nhiệt tình phòng đẹp đầy tiện nghi,booking,rất tuyệt_vời nhân_viên nhiệt_tình phòng đẹp đầy tiện_nghi,positive
Nhân viên rất dễ thương và nhiệt tình,booking,nhân_viên rất dễ_thương và nhiệt_tình,positive
"Gì cũng tuyệt, nhân viên cực kỳ đáng yêu",booking,"gì cũng tuyệt , nhân_viên cực_kỳ đáng yêu",positive
Phòng đẹp sạch sẽ và nhân viên phục vụ rất nhiệt tình.,booking,phòng đẹp sạch_sẽ và nhân_viên phục_vụ rất nhiệt_tình .,positive
"sạch sẽ, phục vụ nhiệt tình và vị trí trung tâm",booking,"sạch_sẽ , phục_vụ nhiệt_tình và vị_trí trung_tâm",positive
"sạch sẽ, nhân viên thân thiện",booking,"sạch_sẽ , nhân_viên thân_thiện",positive
Chỗ ở mới sạch sẽ,booking,chỗ ở mới sạch_sẽ,positive
"Chú chủ Hotel rất là vui vẻ, thân thiện, vị trí khách sạn yên tĩnh, gần chung tâm thành phố, phòng ốc rất sạch sẽ.
Chú còn cho nhóm mình mượn lò than để nướng và tặng 1 chai rượu ngon mà chú ngâm để cho nhóm mình uống, gia đình chú còn cho mượn cả nhà bếp để nhóm mình nấu ăn, chắc chắn lần sau mình sẽ đến nơi này.",booking,"chú chủ hotel rất là vui_vẻ , thân_thiện , vị_trí khách_sạn yên_tĩnh , gần chung tâm thành_phố , phòng_ốc rất sạch_sẽ . chú còn cho nhóm mình mượn lò than để nướng và tặng 1 chai rượu ngon mà chú ngâm để cho nhóm mình uống , gia_đình chú còn cho mượn cả nhà_bếp để nhóm mình nấu_ăn , chắc_chắn lần sau mình sẽ đến nơi này .",positive
"Sạch ,mới ,mọi thứ đều tốt",booking,"sạch , mới , mọi thứ đều tốt",positive
"Phòng rộng rãi, đủ tiện nghi, thoải mái. Anh chủ thân thiện, nhiệt tình. Khu vực xung quanh nhiều quán ăn và cafe sáng, thuận tiện cho gia đình có trẻ em.",booking,"phòng rộng_rãi , đủ tiện_nghi , thoải_mái . anh chủ thân_thiện , nhiệt_tình . khu_vực xung_quanh nhiều quán ăn và cafe sáng , thuận_tiện cho gia_đình có trẻ_em .",positive
Phòng sạch sẽ,booking,phòng sạch_sẽ,positive
"Bạn Dương nhân viên vui vẻ, nhiệt tình.",booking,"bạn dương nhân_viên vui_vẻ , nhiệt_tình .",positive
"Quanh ks toàn quán ăn ngon, ks sạch, đẹp, tiếp tân nhiệt tình, 10đ",booking,"quanh khách_sạn toàn quán ăn ngon , khách_sạn sạch , đẹp , tiếp_tân nhiệt_tình , 10đ",positive
"Phòng ốc vô cùng sạch sẽ tiện nghi, nhân viên thì vui vẻ nhiệt tình. Ks gần nhiều chỗ ăn ngon, đi đâu cũng tiện, mình có kì nghỉ tuyệt vời ở đây, nhất định sẽ quay lại Eco khi có dịp đến Đà lạt",booking,"phòng_ốc vô_cùng sạch_sẽ tiện_nghi , nhân_viên thì vui_vẻ nhiệt_tình . khách_sạn gần nhiều chỗ ăn ngon , đi đâu cũng tiện , mình có kì nghỉ tuyệt_vời ở đây , nhất_định sẽ quay lại eco khi có dịp đến đà_lạt",positive
"lễ tân thân thiện, hỗ trợ tốt
có phòng nghỉ tạm nice
vị trí thuận tiện đi các nơi",booking,"lễ_tân thân_thiện , hỗ_trợ tốt có phòng nghỉ tạm nice vị_trí thuận_tiện đi các nơi",positive
"Phòng sạch sẽ, ngăn nắp. Nhà vệ sinh sạch sẽ, nước nóng chảy mạnh. Nhân viên thân thiện, vui vẻ, nhiệt tình.",booking,"phòng sạch_sẽ , ngăn_nắp . nhà vệ_sinh sạch_sẽ , nước nóng_chảy mạnh . nhân_viên thân_thiện , vui_vẻ , nhiệt_tình .",positive
"Lúc đặt phòng mình có hỏi về việc decor Honeymoon và thực sự các bạn đã chuẩn bị rất chu đáo. Phòng ốc vô cùng sạch sẽ, gọn gàng, đầy đủ tiện nghi. Giá phòng lại cực kỳ hợp lý. Vị trí khách sạn cách chợ đêm chỉ khoảng 5 phút xe máy, mình thuê xe tại khách sạn luôn( xe cực kỳ mới). Chuyến đi nghỉ dưỡng này thật sự rất tuyệt.",booking,"lúc đặt phòng mình có hỏi về việc decor honeymoon và thực_sự các bạn đã chuẩn_bị rất chu_đáo . phòng_ốc vô_cùng sạch_sẽ , gọn_gàng , đầy_đủ tiện_nghi . giá phòng lại cực_kỳ hợp_lý . vị_trí khách_sạn cách chợ đêm chỉ khoảng 5 phút xe_máy , mình thuê xe tại khách_sạn luôn xe cực_kỳ mới . chuyến đi nghỉ_dưỡng này thật_sự rất tuyệt .",positive
"Khách sạn sạch sẽ, bạn nhân viên nhiệt tình",booking,"khách_sạn sạch_sẽ , bạn nhân_viên nhiệt_tình",positive
"Nội thất hiện đại, sạch sẽ, rộng rãi",booking,"nội_thất hiện_đại , sạch_sẽ , rộng_rãi",positive
"Một trong những khách sạn tốt đẹp nằm trong khu vực yên tĩnh vị trí thuận lợi có nhiều hàng quán gần trung tâm mà giá cả hợp lý ở Đà Lạt ! Phòng óc sạch sẽ dọn dẹp mỗi ngày, bạn nhân viên ở sảnh thân thiện nhiệt tình và luôn cò mặt ở đó khi cần. Mình và vợ mình kỳ này đi chụp hình cưới ở Ren gần đó 100m và vị trí khách sạn rất thuận lợi và đi sớm chụp hình săn mây một hai giờ sáng khách sạn vẫn mở cửa giờ giấc thoải mái. Giá thuê xe máy rẻ và hỗ trợ thuê nửa ngày vẫn được hỗ trợ.",booking,"một trong những khách_sạn tốt_đẹp nằm trong khu_vực yên_tĩnh vị_trí thuận_lợi có nhiều hàng_quán gần trung_tâm mà giá_cả hợp_lý ở đà lạt ! phòng óc sạch_sẽ dọn_dẹp mỗi ngày , bạn nhân_viên ở sảnh thân_thiện nhiệt_tình và luôn cò mặt ở đó khi cần . mình và vợ mình kỳ này đi chụp hình cưới ở ren gần đó 100m và vị_trí khách_sạn rất thuận_lợi và đi sớm chụp hình săn mây một_hai giờ sáng khách_sạn vẫn mở_cửa giờ_giấc thoải",positive
"Phòng sạch sẽ, thoải mái, bạn nhân viên phục vụ rất nhiệt tình.",booking,"phòng sạch_sẽ , thoải_mái , bạn nhân_viên phục_vụ rất nhiệt_tình .",positive
lễ tân thân thiện,booking,lễ_tân thân_thiện,positive
"Các bạn nhân viên rất nhiệt tình, đặc biệt bạn nam dễ thương ở quầy lễ tân. Phòng sạch đẹp, khu trung tâm, yên tĩnh, gần các điểm vui chơi.",booking,"các bạn nhân_viên rất nhiệt_tình , đặc_biệt bạn nam dễ_thương ở quầy lễ_tân . phòng sạch đẹp , khu trung_tâm , yên_tĩnh , gần các điểm vui_chơi .",positive
Nhân viên vui vẻ nhiệt tình,booking,nhân_viên vui_vẻ nhiệt_tình,positive
"Đầu tư tốt, giá mềm so với mặt bằng chung, cơ sở hạ tầng tốt, thoải mái, thơm tho, sạch sẽ, được check in sớm. 9,5đ cho tất cả",booking,"đầu_tư tốt , giá mềm so với mặt_bằng chung , cơ_sở hạ_tầng tốt , thoải_mái , thơm_tho , sạch_sẽ , được check in sớm . 9,5 đ cho tất_cả",positive
"Phòng đẹp hơn trong hình và tưởng tượng của mình luôn. Tone trắng - xanh sạch sẽ sáng sủa, có cửa sổ, ban công, cửa sổ WC thoáng và 1 ghế ngồi đọc sách êm, tiện ích rất đầy đủ bao gồm cả máy sưởi (?) trong phòng. Có dịch vụ cho thuê xe của KS - xe ga đời mới, các bạn lễ tân thân thiện vui vẻ, quầy lễ tân rộng rãi có cả đồ ăn vặt và khu vực nhà bếp dùng chung cho khách. Vị trí không quá trung tâm (cách chợ đà lạt khoảng 2km) nếu có xe thì di chuyển trong tầm 10 - 15' là sẽ tới được các điểm tham quan. Buổi sáng từ ngõ đi ra sẽ gặp 1 xe bánh mì xíu mại 15K siêu ngon, đối diện bên kia đường Hoàng Văn Thụ là quán phở bò ăn ổn.",booking,"phòng đẹp hơn trong hình và tưởng_tượng của mình luôn . tone trắng - xanh sạch_sẽ sáng_sủa , có cửa_sổ , ban_công , cửa_sổ wc thoáng và 1 ghế_ngồi đọc sách êm , tiện_ích rất đầy_đủ bao_gồm cả máy sưởi ? trong phòng . có dịch_vụ cho thuê xe của khách_sạn - xe ga đời_mới , các bạn lễ_tân thân_thiện vui_vẻ , quầy lễ_tân rộng_rãi có cả đồ ăn vặt và khu_vực nhà_bếp dùng chung cho khách . vị_trí không quá trung_tâm cách chợ đà lạt khoảng",positive
"Gần trung tâm, gần khu vực ăn uống, mua sắm,",booking,"gần trung_tâm , gần khu_vực ăn_uống , mua_sắm ,",positive
"Dịch vụ tốt, phòng đẹp và thoải mái",booking,"dịch_vụ tốt , phòng đẹp và thoải_mái",positive
sạch sẽ nhân viên dễ thương,booking,sạch_sẽ nhân_viên dễ_thương,positive
"Phòng ốc sạch sẽ, ấm cúng. Nhân viên thân thiện và dễ thương.
Có cho thuê xe máy còn mới và hỗ trợ khách hàng nhiều dịch vụ khác",booking,"phòng_ốc sạch_sẽ , ấm_cúng . nhân_viên thân_thiện và dễ_thương . có cho thuê xe_máy còn mới và hỗ_trợ khách_hàng nhiều dịch_vụ khác",positive
Thoải mái,booking,thoải_mái,positive
"cô chú chủ khách sạn rất nhiệt tình, phòng ốc sạch sẽ",booking,"cô chú chủ_khách_sạn rất nhiệt_tình , phòng_ốc sạch_sẽ",positive
"Ông chủ thân thiện, khách sạn rất là mới. Khu cũng ít người nên khá yên tỉnh. Đèn rất nhiều + sáng, có thể chỉnh được  (chỉnh dc ánh sáng trắng, ko phải chỉ vàng vàng như đa số ks). Để xe hơi bên hông ks.",booking,"ông chủ thân_thiện , khách_sạn rất là mới . khu cũng ít người nên khá yên tỉnh . đèn rất nhiều sáng , có_thể chỉnh được chỉnh được ánh_sáng trắng , không phải chỉ vàng vàng như đa_số ks . để xe_hơi bên hông ks .",positive
"Cô chú rất là nhiệt tình, dễ thương, phòng sạch sẽ có ban công chill chill, có dịp quay lại ĐL vẫn ở chỗ của cô chú",booking,"cô chú rất là nhiệt_tình , dễ_thương , phòng sạch_sẽ có ban_công chill chill , có dịp quay lại đl vẫn ở chỗ của cô chú",positive
"Không gian yên tĩnh, thoáng đãng.",booking,"không_gian yên_tĩnh , thoáng_đãng .",positive
"Phòng sạch sẽ, sân vườn đẹp thoáng mát",booking,"phòng sạch_sẽ , sân vườn đẹp thoáng mát",positive
"Vị trí thuận lợi, xe hơi vào tận nơi và có chổ đậu
Phòng gọn sạch sẽ giá hợp lí
Nhân viên niềm nở, thân thiện còn được các bạn báo hỗ trợ nhận sớm free nữa nhé",booking,"vị_trí thuận_lợi , xe_hơi vào tận nơi và có chổ đậu phòng gọn sạch_sẽ giá hợp_lí nhân_viên niềm_nở , thân_thiện còn được các bạn báo hỗ_trợ nhận sớm free nữa nhé",positive
"Đặt đại mà ai ngờ ok quá trời, recomend mn nhé
Từ lúc check-in đến lúc rời đi, mọi thứ đều vượt mong đợi của mình. Nhất là mấy bạn nhân viên nhiệt tình, thân thiện cực. Phòng mình ở có view hướng thung lũng mộng mơ lắm, sạch sẽ, tiện nghi đầy đủ, không gian yên tĩnh và thoải mái.
Chắc chắn sẽ quay lại nếu có dịp và mình rất sẵn lòng giới thiệu khách sạn này cho bạn bè và người thân.",booking,"đặt đại mà ai_ngờ tốt quá trời , recomend mọi người nhé từ lúc check - in đến lúc rời đi , mọi thứ đều vượt mong_đợi của mình . nhất là mấy bạn nhân_viên nhiệt_tình , thân_thiện cực . phòng mình ở có view hướng thung_lũng mộng_mơ lắm , sạch_sẽ , tiện_nghi đầy_đủ , không_gian yên_tĩnh và thoải_mái . chắc_chắn sẽ quay lại nếu có dịp và mình rất sẵn_lòng giới_thiệu khách_sạn này cho bạn_bè và người_thân .",positive
"Mình đi với bạn bè ở phòng đôi, phòng khá ổn so với mức giá. Ấn tượng đầu tiên là phòng sạch sẽ, thoáng mát và đầy đủ tiện nghi. Có view quay chụp sống ảo. Nv khách sạn nhiệt tình và thân thiện. Các bạn lễ tân siêu dễ thương, hỗ trợ nhiệt tình lắm. Túm lại trải nghiệm của mình vs gđ là rất tốt, rcm cho các bạn có thể book ở đây khi đến Đà Lạt nha",booking,"mình đi với bạn_bè ở phòng đôi , phòng khá ổn so với mức giá . ấn_tượng đầu_tiên là phòng sạch_sẽ , thoáng mát và đầy_đủ tiện_nghi . có view quay chụp sống ảo . nhân_viên khách_sạn nhiệt_tình và thân_thiện . các bạn lễ_tân siêu dễ_thương , hỗ_trợ nhiệt_tình lắm . túm lại trải nghiệm của mình với gđ là rất tốt , rcm cho các bạn có_thể book ở đây khi đến đà_lạt nha",positive
"Mình đánh giá cao mặt view thung lũng của khách sạn, phòng sạch, nhân viên nhiệt tình và chủ động hỗ trợ hành lí khi mình nhận - trả phòng. Cách âm khá ổn, vị trí không quá xa trung tâm, dễ đặt xe để di chuyển. Nhìn chung mọi thứ đều ổn với giá phòng, mình sẽ quay lại khi có dịp.",booking,"mình đánh_giá cao mặt view thung_lũng của khách_sạn , phòng sạch , nhân_viên nhiệt_tình và chủ_động hỗ_trợ hành_lí khi mình nhận - trả phòng . cách_âm khá ổn , vị_trí không quá xa trung_tâm , dễ đặt xe để di_chuyển . nhìn_chung mọi thứ đều ổn với giá phòng , mình sẽ quay lại khi có dịp .",positive
"Phòng rất đẹp, nhân viên nhiệt tình hỗ trợ, giá cả hợp lý cho chuyến đi dài ngày",booking,"phòng rất đẹp , nhân_viên nhiệt_tình hỗ_trợ , giá_cả hợp_lý cho chuyến đi dài ngày",positive
"Mình rất muốn quay lại nơi này cùng với bạn bè lần nữa. Phòng được trang bị rất đầy đủ, chu đáo, gọn gàng. Mấy bạn nhân viên phải nói là rất rất nhiệt tình, dễ mến. Vị trí ks ko quá xa trung tâm nhưng khá yên tĩnh. Mình đi trúng vào dịp mai anh đào nở rộ nên view thung lũng phải nói là xuất sắc.",booking,"mình rất muốn quay lại nơi này cùng với bạn_bè lần nữa . phòng được trang_bị rất đầy_đủ , chu_đáo , gọn_gàng . mấy bạn nhân_viên phải nói là rất rất nhiệt_tình , dễ mến . vị_trí khách_sạn không quá xa trung_tâm nhưng khá yên_tĩnh . mình đi trúng vào dịp mai anh_đào nở_rộ nên view thung_lũng phải nói là xuất_sắc .",positive
"Khách sạn thoáng có nhiều khuôn viên rộng, phòng sạch sẽ nhân viên thân thiện, sẽ quay lại đây nhiều lần",booking,"khách_sạn thoáng có nhiều khuôn_viên rộng , phòng sạch_sẽ nhân_viên thân_thiện , sẽ quay lại đây nhiều lần",positive
Rộng rãi phòng ốc đủ tiện nghi,booking,rộng_rãi phòng_ốc đủ tiện_nghi,positive
Đủ rộng rãi cho 2 người. Ngủ ngon. Đơn giản.,booking,đủ rộng_rãi cho 2 người . ngủ ngon . đơn_giản .,positive
"Phòng tiện nghi, đủ dùng, ổn, thiết kế đẹp",booking,"phòng tiện_nghi , đủ dùng , ổn , thiết_kế đẹp",positive
Thích khoảng sân khuôn viên,booking,thích khoảng sân khuôn_viên,positive
"View khách sạn rất hợp để nghỉ ngơi, nơi ở yên tĩnh nhưng vẫn văn minh. Nhiều nhà xe gần đó",booking,"view khách_sạn rất hợp để nghỉ_ngơi , nơi ở yên_tĩnh nhưng vẫn văn_minh . nhiều nhà_xe gần đó",positive
"10 điểm không có nhưng,chú chủ vui vẻ thân thiện nhiệt tình, hỗ trợ đầy đủ những việc trong khả năng của chú. Phòng sạch sẽ, tiện nghi khá đầy đủ",booking,"10 điểm không có nhưng , chú chủ vui_vẻ thân_thiện nhiệt_tình , hỗ_trợ đầy_đủ những việc trong khả_năng của chú . phòng sạch_sẽ , tiện_nghi khá đầy_đủ",positive
Chỗ nghỉ thoáng vì là khu quy hoạch mới. Đậu xe ngay trước cửa . Đường thoáng không đông đúc mặc dù chỉ cách trung tâm 2km.,booking,chỗ nghỉ thoáng vì là khu quy_hoạch mới . đậu xe ngay trước cửa . đường thoáng không đông_đúc mặc_dù chỉ cách trung_tâm 2km .,positive
"Anh chủ rất thân thiện,nhiệt tình,dễ chịu. Dịch vụ hợp lý với giá phòng.",booking,"anh chủ rất thân_thiện , nhiệt_tình , dễ_chịu . dịch_vụ hợp_lý với giá phòng .",positive
"Chỗ nghỉ yên tĩnh, thoáng đãng, phù hợp giá tiền. Chủ nhiệt tình dễ mến!",booking,"chỗ nghỉ yên_tĩnh , thoáng_đãng , phù_hợp giá tiền . chủ nhiệt_tình dễ mến !",positive
"Chủ khách sạn hòa nhã, thân thiện",booking,"chủ_khách_sạn hòa nhã , thân_thiện",positive
"Gia đình mình đi 7 người ở rất hài lòng, ông chủ rất thân thiện vui vẻ. Nằm trong khu dân cư gần trung tâm nhưng được cái vô cùng yên tĩnh, thuận tiện đi lại.",booking,"gia_đình mình đi 7 người ở rất hài_lòng , ông chủ rất thân_thiện vui_vẻ . nằm trong khu dân_cư gần trung_tâm nhưng được cái vô_cùng yên_tĩnh , thuận_tiện đi_lại .",positive
"Khách sạn sạch sẽ. Có thang máy. Anh chủ vui vẻ, tận tâm.",booking,"khách_sạn sạch_sẽ . có thang_máy . anh chủ vui_vẻ , tận_tâm .",positive
"Tiện ích ks đầy đủ, thoái mái.
Không gian cực kỳ ấm cúng.
Chú chủ thân thiện và nhiệt tình.
Gần với trung tâm, di chuyển thuận tiện.
Cảm ơn chú và nếu có dịp sẽ tiếp tục ghé ủng hộ chú.",booking,"tiện_ích khách_sạn đầy_đủ , thoái mái . không_gian cực_kỳ ấm_cúng . chú chủ thân_thiện và nhiệt_tình . gần với trung_tâm , di_chuyển thuận_tiện . cảm_ơn chú và nếu có dịp sẽ tiếp_tục ghé ủng_hộ chú .",positive
Giá cả phải chăng. Chú Mạnh thân thiện dễ thương,booking,giá_cả phải_chăng . chú mạnh thân_thiện dễ_thương,positive
Vị trí tốt!,booking,vị_trí tốt !,positive
"Phòng không cách âm, vệ sinh chưa có được sạch sẽ lắm.",booking,"phòng không cách_âm , vệ_sinh chưa có được sạch_sẽ lắm .",negative
Nhân viên nhiệt tình,booking,nhân_viên nhiệt_tình,positive
"Đây là nơi ở mình cực kỳ ưng ý nên đã ở hẳn 1 tuần, giá cực kỳ tốt, anh chị chủ rất là nice và cả bé nhân viên trực đêm cũng rất dễ thương, mọi người nên ở tại đây nhen vì ksan đã được nâng cấp xây mới toàn bộ cơ sở vật chất nên vô cùng sạch sẽ, tiện lợi từ thang máy, cầu thang theo tiêu chuẩn PCCC và cửa phòng cũng là cửa chống cháy, đặc biệt là dù tối lạnh cỡ nào cũng đều có nước nóng để tắm, mọi thứ đều tuyệt vời nên không có gì để chê cả, mình đã từng lăn tăn về nhiều bình luận trước đó nhưng sau khi trải nghiệm thực tế thì ksan đã được xây sửa mới nên hy vọng mọi người hãy đến Seven a hotel ở nhen, chắc chắn lần sau mình sẽ tiếp tục ở nếu có dịp, hy vọng Seven sẽ luôn đẹp và làm hài lòng nhiều khách hàng nhé ❤️

Sàn gỗ trước cửa toilet sẽ hơi bị thấm nếu nước văng ra ngoài nhiều, vì cửa phòng là hệ cửa chống cháy nên khi ra vào sẽ hơi ồn do cửa nặng nhưng không sao nha vì nó an toàn cho khách ở, tất nhiên sẽ k cách âm nên mọi người đừng quá khắt khe nhe, ở sạch sẽ đẹp đẽ tiện nghi là 10đ rồi!!!",booking,"đây là nơi ở mình cực_kỳ ưng_ý nên đã ở hẳn 1 tuần , giá cực_kỳ tốt , anh_chị chủ rất là nice và cả bé nhân_viên trực đêm cũng rất dễ_thương , mọi người nên ở tại đây nhen vì ksan đã được nâng_cấp xây mới toàn_bộ cơ_sở vật_chất nên vô_cùng sạch_sẽ , tiện_lợi từ thang_máy , cầu_thang theo tiêu_chuẩn pc và cửa phòng cũng là cửa chống cháy , đặc_biệt là dù tối lạnh cỡ nào cũng đều có nước nóng để tắm , mọi thứ đều tuyệt",positive
